#,sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,desercion
87,2215,0,1,0,13,0,0,1,-1,-1,881,0,0,0,0,False
88,1848,0,1,0,13,0,0,1,0,-1,1076,0,0,0,1,False
89,2212,0,1,0,13,0,0,1,-1,-1,882,0,0,1,1,False
90,2227,0,1,0,13,0,0,1,-1,-1,716,0,0,0,2,False
91,2210,0,1,0,13,0,0,1,-1,-1,922,0,0,1,0,False
92,2220,0,1,0,13,0,1,2,-1,-1,879,0,1,2,0,False
93,2218,1,1,0,13,0,0,1,-1,-1,936,0,0,0,0,False
94,3306,1,1,0,3,0,0,1,0,-1,153,0,0,0,0,False
95,3431,0,1,0,3,0,0,1,0,-1,156,0,0,0,0,False
96,3443,0,1,0,3,1,0,1,0,-1,1473,0,0,1,0,True
97,3418,0,1,0,3,0,0,1,0,-1,108,0,1,2,1,False
98,3434,0,1,0,3,0,0,1,-1,-1,129,0,0,0,0,False
99,3158,0,1,0,3,0,0,1,0,-1,1398,0,0,1,0,False
100,3083,0,1,0,3,0,0,1,-1,-1,164,0,0,0,0,False
101,2843,1,1,0,3,0,0,1,0,-1,167,0,0,0,2,False
102,1940,0,1,0,13,0,0,1,1,-1,817,0,0,1,-1,False
103,1863,1,1,0,13,0,0,1,-1,-1,818,0,0,1,0,False
104,3057,0,1,0,3,0,0,1,-1,-1,691,0,0,0,0,False
105,3082,0,1,0,3,0,0,1,0,-1,1169,0,0,2,0,False
106,3069,0,1,0,3,0,0,1,-1,-1,1435,0,1,2,0,False
107,3353,0,1,0,3,0,0,2,-1,-1,176,0,0,0,-1,False
108,3157,0,1,0,3,0,0,1,0,-1,1337,0,0,0,0,False
109,2243,0,1,0,13,0,1,2,-1,-1,924,0,0,0,0,False
110,3073,1,1,0,3,0,0,1,-1,-1,179,0,0,0,0,False
111,3488,0,1,0,3,0,0,1,-1,-1,180,0,0,1,0,False
112,3127,1,1,0,3,0,0,1,-1,-1,1266,0,0,0,1,False
113,3185,0,0,0,3,0,0,1,-1,-1,1262,0,0,0,0,False
114,3029,0,1,0,3,0,0,1,-1,-1,1066,0,0,1,0,False
115,3051,0,1,0,3,0,0,1,0,-1,189,0,0,0,0,False
116,2520,0,1,0,13,0,0,1,-1,-1,918,0,0,1,1,False
117,2230,0,1,0,13,0,0,1,-1,-1,823,0,0,1,0,False
118,2222,0,1,0,13,0,0,1,-1,-1,558,0,0,1,0,False
119,3055,0,0,0,3,0,0,2,-1,-1,1504,0,0,0,2,False
120,3026,1,1,0,3,0,0,1,0,-1,1332,0,0,1,0,False
121,2211,0,1,0,13,0,0,1,-1,-1,562,0,0,1,0,False
122,2216,0,1,0,13,0,0,1,-1,-1,883,0,0,0,-1,False
123,2207,0,1,0,13,0,0,1,0,2,201,0,0,0,0,False
124,3514,0,1,0,13,0,0,1,-1,-1,1431,0,0,1,-1,False
125,3553,0,1,0,13,0,0,1,0,-1,531,0,0,0,0,False
126,3524,0,1,0,13,0,0,1,-1,-1,1410,0,0,2,0,False
127,3369,0,1,0,13,1,0,1,-1,-1,980,0,0,0,0,False
128,3455,1,1,0,13,0,0,1,-1,-1,1320,0,0,0,0,False
129,3391,0,1,0,13,0,0,1,-1,-1,1103,0,0,1,0,False
130,3500,1,1,0,13,0,0,1,-1,-1,1212,0,0,1,0,False
131,2224,1,1,0,13,0,1,1,-1,-1,77,0,0,0,0,False
132,2202,0,1,0,13,0,0,1,-1,-1,878,0,0,0,-1,False
133,3161,0,1,0,3,0,0,1,-1,-1,283,0,0,2,1,False
134,3048,1,1,0,3,0,0,1,0,-1,1260,0,0,1,0,False
135,2711,0,1,0,3,0,0,1,-1,-1,692,0,0,0,1,False
136,3071,0,1,0,3,0,0,1,0,-1,635,0,0,0,1,False
137,3038,1,1,0,3,0,0,1,-1,-1,806,0,0,0,0,False
138,2846,1,1,0,3,0,0,1,-1,-1,638,0,0,2,0,False
139,2740,0,1,0,13,0,0,1,0,-1,1319,0,0,0,0,False
140,2733,0,1,0,13,0,0,1,0,-1,974,0,0,1,0,False
141,3467,0,1,0,3,0,0,1,-1,-1,371,0,0,0,0,False
142,2812,0,1,0,13,0,0,1,-1,-1,1468,0,0,0,0,False
143,2743,0,1,0,13,0,0,1,-1,-1,1096,0,0,0,0,False
144,2225,0,1,0,13,0,0,1,-1,-1,880,0,0,0,0,False
145,3570,0,1,0,13,0,0,1,-1,-1,1307,0,0,0,0,False
146,2223,0,1,0,13,0,0,1,-1,-1,162,0,0,0,0,False
147,2738,0,1,0,13,0,0,1,0,-1,959,0,0,0,0,False
148,3522,1,1,0,3,1,0,1,-1,-1,168,0,0,2,-1,True
149,2745,1,1,0,13,0,0,1,1,-1,954,0,0,0,0,False
150,3330,0,1,0,2,0,0,1,-1,-1,480,0,0,0,0,False
151,2528,0,1,-1,13,0,0,2,-1,2,679,0,0,0,0,True
152,3404,0,1,0,3,0,0,1,-1,-1,160,0,0,2,0,True
153,3067,0,1,0,3,0,0,1,-1,-1,514,0,0,1,0,False
154,2996,0,1,0,3,0,0,1,0,-1,1170,0,0,0,0,False
155,3311,0,1,0,3,0,0,1,-1,-1,538,0,0,1,0,False
156,3122,1,1,0,3,0,0,1,-1,-1,634,0,0,1,0,False
157,2467,0,1,0,3,0,1,1,-1,-1,544,0,0,0,0,False
158,3337,1,1,0,3,0,0,1,-1,-1,190,0,0,1,0,False
159,3314,0,1,0,3,0,0,1,-1,-1,585,0,0,2,0,False
160,3338,0,1,0,3,0,0,1,-1,-1,596,0,0,0,0,False
